"","x"
"277","YBR083W"
"278","YBR084C-A"
"279","YBR084W"
"280","YBR085C-A"
"281","YBR086C"
"282","YBR087W"
"283","YBR088C"
"284","YBR090C"
"285","YBR090C"
"286","YBR091C"
"287","YBR092C"
"288","YBR093C"
"289","YBR094W"
"290","YBR095C"
"291","YBR096W"
"292","YBR097W"
"293","YBR098W"
"294","YBR101C"
"295","YBR102C"
"296","YBR103W"
"297","YBR104W"
"298","YBR105C"
"299","YBR106W"
"300","YBR107C"
"301","YBR108W"
"302","YBR109C"
"303","YBR110W"
"304","YBR111C"
"305","YBR111W-A"
"306","YBR112C"
"307","YBR113W"
"308","YBR114W"
"309","YBR115C"
"310","YBR117C"
"311","YBR117C"
"312","YBR118W"
"313","YBR119W"
"314","YBR120C"
"315","YBR121C"
"316","YBR121C"
"317","YBR122C"
"318","YBR123C"
"319","YBR125C"
"320","YBR126C"
"321","YBR127C"
"322","YBR128C"
"323","YBR129C"
"324","YBR130C"
"325","YBR131W"
"326","YBR132C"
"327","YBR133C"
"328","YBR135W"
"329","YBR136W"
"330","YBR137W"
"331","YBR138C"
"332","YBR139W"
"333","YBR140C"
"334","YBR141C"
"335","YBR142W"
"336","YBR143C"
"337","YBR145W"
"338","YBR146W"
"339","YBR147W"
"340","YBR148W"
"341","YBR149W"
"342","YBR150C"
"343","YBR151W"
"344","YBR152W"
"345","YBR153W"
"346","YBR154C"
"347","YBR155W"
"348","YBR156C"
"349","YBR157C"
"350","YBR158W"
"351","YBR159W"
"352","YBR160W"
"353","YBR161W"
"354","YBR162C"
"355","YBR162W-A"
"356","YBR163W"
"357","YBR164C"
"358","YBR165W"
"359","YBR166C"
"360","YBR167C"
"361","YBR168W"
"362","YBR169C"
"363","YBR170C"
"364","YBR171W"
"365","YBR172C"
"366","YBR173C"
"367","YBR175W"
"368","YBR176W"
"369","YBR177C"
"370","YBR179C"
"371","YBR180W"
"372","YBR181C"
"373","YBR182C"
"374","YBR183W"
"375","YBR184W"
"376","YBR185C"
"377","YBR186W"
"378","YBR187W"
"379","YBR188C"
"380","YBR189W"
"381","YBR191W"
"382","YBR191W"
"383","YBR192W"
"384","YBR193C"
"385","YBR194W"
"386","YBR195C"
"387","YBR196C"
"388","YBR196C-A"
"389","YBR196C-B"
"390","YBR197C"
"391","YBR198C"
"392","YBR199W"
"393","YBR200W"
"394","YBR201C-A"
"395","YBR201W"
"396","YBR202W"
"397","YBR203W"
"398","YBR204C"
"399","YBR205W"
"400","YBR205W"
"401","YBR207W"
"402","YBR208C"
"403","YBR209W"
"404","YBR210W"
"405","YBR211C"
"406","YBR212W"
"407","YBR213W"
"408","YBR214W"
"409","YBR215W"
"410","YBR216C"
"411","YBR217W"
"412","YBR218C"
"413","YBR220C"
"414","YBR220C"
"415","YBR221C"
"416","YBR221W-A"
"417","YBR222C"
"418","YBR223C"
"419","YBR225W"
"420","YBR225W"
"421","YBR226C"
"422","YBR227C"
"423","YBR228W"
"424","YBR229C"
"425","YBR230C"
"426","YBR230W-A"
"427","YBR231C"
"428","YBR233W"
"429","YBR233W-A"
"430","YBR234C"
"431","YBR235W"
"432","YBR236C"
"433","YBR237W"
"434","YBR238C"
"435","YBR239C"
"436","YBR240C"
"437","YBR241C"
"438","YBR242W"
"439","YBR243C"
"440","YBR244W"
"441","YBR245C"
"442","YBR246W"
"443","YBR247C"
"444","YBR248C"
"445","YBR249C"
"446","YBR250W"
"447","YBR251W"
"448","YBR252W"
"449","YBR253W"
"450","YBR254C"
"451","YBR255C-A"
"452","YBR255W"
"453","YBR256C"
"454","YBR257W"
"455","YBR258C"
"456","YBR259W"
"457","YBR260C"
"458","YBR261C"
"459","YBR262C"
"460","YBR263W"
"461","YBR264C"
"462","YBR265W"
"463","YBR267W"
"464","YBR268W"
"465","YBR269C"
"466","YBR270C"
"467","YBR271W"
"468","YBR272C"
"469","YBR273C"
"470","YBR274W"
"471","YBR275C"
"472","YBR276C"
"473","YBR278W"
"474","YBR279W"
"475","YBR280C"
"476","YBR281C"
"477","YBR282W"
"478","YBR283C"
"479","YBR284W"
"480","YBR285W"
"481","YBR286W"
"482","YBR287W"
"483","YBR288C"
"484","YBR289W"
"485","YBR290W"
