,x
344,YBR149W
345,YBR150C
346,YBR151W
347,YBR152W
348,YBR153W
349,YBR154C
350,YBR155W
351,YBR156C
352,YBR157C
353,YBR158W
354,YBR159W
355,YBR160W
356,YBR161W
357,YBR162C
358,YBR162W-A
359,YBR163W
360,YBR164C
361,YBR165W
362,YBR166C
363,YBR167C
364,YBR168W
365,YBR169C
366,YBR170C
367,YBR171W
368,YBR172C
369,YBR173C
370,YBR175W
371,YBR176W
372,YBR177C
373,YBR179C
374,YBR180W
375,YBR181C
376,YBR182C
377,YBR183W
378,YBR184W
379,YBR185C
380,YBR186W
381,YBR187W
382,YBR188C
383,YBR189W
384,YBR191W
385,YBR191W
386,YBR192W
387,YBR193C
388,YBR194W
389,YBR195C
390,YBR196C
391,YBR196C-A
392,YBR196C-B
393,YBR197C
394,YBR198C
395,YBR199W
396,YBR200W
397,YBR200W-A
398,YBR201C-A
399,YBR201W
400,YBR202W
401,YBR203W
402,YBR204C
403,YBR205W
404,YBR205W
405,YBR207W
406,YBR208C
407,YBR210W
408,YBR211C
409,YBR212W
410,YBR213W
411,YBR214W
412,YBR215W
413,YBR216C
414,YBR217W
415,YBR218C
416,YBR220C
417,YBR220C
418,YBR221C
419,YBR221W-A
420,YBR222C
421,YBR223C
422,YBR225W
423,YBR225W
424,YBR226C
425,YBR227C
426,YBR228W
427,YBR229C
428,YBR230C
429,YBR230W-A
430,YBR231C
431,YBR233W
432,YBR233W-A
433,YBR234C
434,YBR235W
435,YBR236C
436,YBR237W
437,YBR238C
438,YBR239C
439,YBR240C
440,YBR241C
441,YBR242W
442,YBR243C
443,YBR244W
444,YBR245C
445,YBR246W
446,YBR247C
447,YBR248C
448,YBR249C
449,YBR250W
450,YBR251W
451,YBR252W
452,YBR253W
453,YBR254C
454,YBR255C-A
455,YBR255W
456,YBR256C
457,YBR257W
458,YBR258C
459,YBR259W
460,YBR260C
461,YBR261C
462,YBR262C
463,YBR263W
464,YBR264C
465,YBR265W
466,YBR267W
467,YBR268W
468,YBR269C
469,YBR270C
470,YBR271W
471,YBR272C
472,YBR273C
473,YBR274W
474,YBR275C
475,YBR276C
476,YBR278W
477,YBR279W
478,YBR280C
479,YBR281C
480,YBR282W
481,YBR283C
482,YBR284W
483,YBR285W
484,YBR286W
485,YBR287W
486,YBR288C
487,YBR289W
