,x
344,YBR149W
345,YBR150C
346,YBR151W
347,YBR152W
348,YBR153W
349,YBR154C
350,YBR155W
351,YBR156C
352,YBR157C
353,YBR158W
354,YBR159W
355,YBR160W
356,YBR161W
357,YBR162C
358,YBR162W-A
359,YBR163W
360,YBR164C
361,YBR165W
362,YBR166C
363,YBR167C
364,YBR168W
365,YBR169C
366,YBR170C
367,YBR171W
368,YBR172C
369,YBR173C
370,YBR175W
371,YBR176W
372,YBR177C
373,YBR179C
374,YBR180W
375,YBR181C
376,YBR182C
377,YBR183W
378,YBR184W
379,YBR185C
380,YBR186W
381,YBR187W
382,YBR188C
383,YBR189W
384,YBR191W
385,YBR191W
386,YBR192W
387,YBR193C
388,YBR194W
389,YBR195C
390,YBR196C
391,YBR196C-B
392,YBR197C
393,YBR198C
394,YBR199W
395,YBR200W
396,YBR200W-A
397,YBR201C-A
398,YBR201W
399,YBR202W
400,YBR203W
401,YBR204C
402,YBR205W
403,YBR205W
404,YBR207W
405,YBR208C
406,YBR209W
407,YBR210W
408,YBR211C
409,YBR212W
410,YBR213W
411,YBR214W
412,YBR215W
413,YBR216C
414,YBR217W
415,YBR218C
416,YBR220C
417,YBR220C
418,YBR221C
419,YBR222C
420,YBR223C
421,YBR225W
422,YBR225W
423,YBR226C
424,YBR227C
425,YBR228W
426,YBR229C
427,YBR230C
428,YBR230W-A
429,YBR231C
430,YBR233W
431,YBR233W-A
432,YBR234C
433,YBR235W
434,YBR236C
435,YBR237W
436,YBR238C
437,YBR239C
438,YBR240C
439,YBR241C
440,YBR242W
441,YBR243C
442,YBR244W
443,YBR245C
444,YBR246W
445,YBR247C
446,YBR248C
447,YBR249C
448,YBR250W
449,YBR251W
450,YBR252W
451,YBR253W
452,YBR254C
453,YBR255C-A
454,YBR255W
455,YBR256C
456,YBR257W
457,YBR258C
458,YBR259W
459,YBR260C
460,YBR261C
461,YBR262C
462,YBR263W
463,YBR264C
464,YBR265W
465,YBR267W
466,YBR268W
467,YBR269C
468,YBR270C
469,YBR271W
470,YBR272C
471,YBR273C
472,YBR274W
473,YBR275C
474,YBR276C
475,YBR278W
476,YBR279W
477,YBR280C
478,YBR281C
479,YBR282W
480,YBR283C
481,YBR284W
482,YBR285W
483,YBR286W
484,YBR287W
485,YBR288C
486,YBR289W
487,YBR290W
