"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"YHR138C",22.1336259291332,3.3173111998992,0.769266812223455,4.31230250309512,1.61563178881323e-05,0.0192125647382483
"YNL238W",7.02455570291331,5.95126771473835,1.40111159572025,4.24753298232397,2.16137353760778e-05,0.0192125647382483
"YOR162C",13.5929928015873,2.21855830458668,0.524989308449999,4.22591140215187,2.37975616080698e-05,0.0192125647382483
"YGL019W",40.4481218238413,-1.61061652562986,0.403408909261443,-3.99251600213431,6.5375919680868e-05,0.03286447231583
"YOL083C-A",237.263337582166,2.85317753643983,0.724080102229601,3.94041698930031,8.13400944871435e-05,0.03286447231583
"YNL008C",404.484691656544,2.31602736139244,0.587794881328219,3.94019654638536,8.14148777435922e-05,0.03286447231583
"YNL201C",43.3656646371964,3.99547483076873,1.02786548093116,3.88715732252157,0.000101425023038285,0.0350930579712466
"YDR256C",37.9803531682017,-2.69721885277451,0.716448751012273,-3.7647059178533,0.000166745209579656,0.0407133691335234
"YLL057C",43.4070574066108,1.8552939503944,0.495305551857121,3.74575641932152,0.000179851035325831,0.0407133691335234
"YKL165C",16.9713020067772,2.14137225170194,0.574718029971595,3.72595279777071,0.000194578817239101,0.0407133691335234
"YGL251C",197.728319499875,1.30276401637942,0.350317052762579,3.7188141602183,0.000200160240345526,0.0407133691335234
"YHR159W",33.7669204957421,1.96411768995262,0.528435315918608,3.71685546136955,0.000201717766144624,0.0407133691335234
"YGL235W",74.0252229194091,-2.68283258518694,0.731121056111404,-3.66947793769756,0.000243046311376301,0.042762159835952
"YGL081W",8.76342699885326,3.1454081872473,0.858525317138588,3.66373375887242,0.000248565157345564,0.042762159835952
"YHR140W",6.89140044087786,2.93028137488711,0.803373805588291,3.64746940279107,0.000264835837134302,0.042762159835952
"YDR338C",8.39330440113384,-2.15928331447876,0.597484620125421,-3.61395631242439,0.000301559896351311,0.0439637294705818
"YKL006C-A",55.303754095776,0.780050931056149,0.216201104708181,3.60798772101108,0.000308581090421095,0.0439637294705818
"YDR112W",148.410499751883,1.88629893522693,0.525393557782421,3.59025897308032,0.000330349580869023,0.0444503713813763
"YMR319C",252.311992695916,1.52272550504904,0.425834570708906,3.57586163686543,0.000349076252502896,0.0444980359769481
"YOR163W",35.0689243095513,1.01857004218229,0.28745263795658,3.54343605758158,0.000394949072463073,0.0449711083854534
"YCL045C",19.2797050741649,-1.88751822092199,0.533278506357917,-3.53946052281949,0.000400945733385404,0.0449711083854534
"YGL069C",1522.78987246286,-1.83302955106258,0.519936545535318,-3.52548703645236,0.000422704864921709,0.0449711083854534
"YDR072C",7.58575577024694,-3.7976680981293,1.07803400114791,-3.52277209632115,0.000427058419845346,0.0449711083854534
"YPL100W",23.4197971416436,1.07515870070573,0.308881212207898,3.48081611380777,0.00049988855647836,0.0496077504264401
"YBL066C",28.5450313044758,3.63895290142328,1.05369173120193,3.45352705508317,0.000553306799216985,0.0496077504264401
"YNR008W",38.3014739996041,2.67660338480218,0.775084439701212,3.45330553382543,0.00055376140946491,0.0496077504264401
"YLR374C",83.4705775669102,-1.34809331070547,0.392025523955497,-3.4387896407952,0.000584321090818114,0.0496077504264401
"YMR174C",17.3990906760631,-2.95947265059125,0.861722303099442,-3.43436933214636,0.000593934346703554,0.0496077504264401
"YNR042W",106.892981306925,-2.20011455388956,0.640620828700649,-3.43434751934616,0.000593982147963155,0.0496077504264401
"YNL013C",358.282609328427,2.33223413087396,0.690239195389476,3.37887814318914,0.000727822611452893,0.0583586082947569
"YLR107W",13.8710663215672,-2.98113759598147,0.88415428449222,-3.3717391277401,0.000746951633830497,0.0583586082947569
"YJL056C",8.77628335739304,-3.02588804701497,0.903246900949005,-3.35001209949992,0.000808080304616939,0.0589231581920717
"YIR001C",11.6893106939512,3.07858921201876,0.919298277985809,3.34884692568333,0.00081148615873056,0.0589231581920717
"tH(GUG)G1",42.2206099453532,2.76105835479858,0.825908982521296,3.34305403286661,0.000828617638043971,0.0589231581920717
