"","chr","tracking_id","ratio","l2All[, 3]","l3All[, 3]","l4All[, 3]","l5All[, 3]","l7All[, 3]","l8All[, 3]","l9All[, 3]","l11All[, 3]","l18All[, 3]","l21All[, 3]","l31All[, 3]","l49All[, 3]","l59All[, 3]","l61All[, 3]","l66All[, 3]","l69All[, 3]","l76All[, 3]","l77All[, 3]"
"YAL020C",1,"YAL020C",-0.547970731414287,0.0438957660216243,0.130015679879258,-0.096237676863477,0.116415149421066,-0.0631402809830235,-0.398134467304993,0.0709987392406279,-0.0446341321379455,0.105412580327786,0.286189067538896,0.0709542770642699,0.482415849974261,-1.2788346656385,0.120164910850825,-0.0751883859945025,-0.233189162449541,0.21348605774137,-0.190285635867245
"YAL037C-B",1,"YAL037C-B",-0.999805229565249,0.041976847991232,0.190867108912312,-0.163747463317351,0.128546052290716,-0.0692004724149504,-0.776094253120017,0.0715172608483274,0.0287166080961269,0.0964654811795422,0.225465140573592,0.133089135331114,-0.0839142440364248,-1.34584031723347,0.07466291435501,-0.0230096802808974,-0.205047850568155,0.848334810195792,-0.106529091523931
"YAL035W",1,"YAL035W",-1.03984929891553,0.0225585045195734,0.138381216522925,-0.16243573209751,0.209086920225733,-0.0426572257281951,-0.844190025631129,0.366214559809643,-0.0113980594737967,0.121091173145198,0.322803628591063,0.159167467789683,-0.0457304780282449,-0.67052013474788,0.0759453258002739,-0.0193603174320792,-0.294068484870666,0.130010843009385,-0.237188107242242
"YAL058W",1,"YAL058W",-0.596974270370269,0.0367394268931354,0.132578694194205,-0.14918277588443,0.232316431768189,-0.0384216878762199,-0.527852839088031,0.65212536129955,0.0500248181097435,0.680705037155896,0.1495955447034,0.166470391903099,-0.101801019026371,-1.60672547938187,0.0512089547064824,-0.0451113863638894,-0.401098078476056,0.133192151807116,-0.198985682114615
"YAL029C",1,"YAL029C",-0.93133484702891,0.042036339685358,0.125420811343339,-0.135017882109277,0.276645833108764,0.498310071719661,-0.970311102122549,0.349838055459166,0.0155600912415562,0.259186875527242,0.161384744915109,0.154031130510725,-0.0629029458865695,-0.538367026350609,0.113962784997779,-0.151445409163464,-0.33421692266627,0.0980160928823107,-0.117762136940254
"YAL031C",1,"YAL031C",-0.900052359449018,0.0719568241902426,0.291093312496855,-0.0855939749029739,0.287844219894677,-0.045345865539833,-0.33686018225018,0.0945945685109369,-0.0647490549374406,0.223958698456446,0.107500512045529,0.134564644121059,-0.083216191439676,-1.42899249733007,0.0851195493691692,-0.0607406317661512,-0.536595804920735,0.136078138366388,-0.277077623027668
"YAL019W",1,"YAL019W",-0.382331539835116,0.104554420316022,0.351452357118794,-0.056399552949818,0.197817524483726,-0.0886645412057934,-0.778282175321345,0.0402290558761779,-0.0478782015357787,0.266893065466747,0.143360202055522,0.275878350254449,-0.0663332744468599,-0.785737972164705,0.187431444931635,-0.0374702797790796,-0.567684926227944,0.0697562209902339,-0.0811353974566425
"YAL008W",1,"YAL008W",-0.682454784557574,0.0109668755911188,0.453100843420873,-0.0386627456345321,0.377093397225209,-0.0718478241659635,-0.531583799601039,0.12844529105561,-0.00564638757086664,0.182560251360169,0.0840149664314423,0.103415721141903,-0.0157901918529951,-1.53462255825338,0.205637165614102,-0.0269253997005254,-0.338275657918996,0.103876030016844,0.741946777030987
"YAL015C",1,"YAL015C",-0.921910996854997,0.0578956468045192,0.434449927027049,-0.0927531113695896,0.134767433833239,-0.0118295972652427,-0.747325427196726,0.17443837540652,-0.0293720264262799,0.205090479840201,0.134467568172077,0.224138115542317,-0.111611366224956,-0.884763015779118,0.208140899045907,-0.117625712612738,-0.703519245985885,0.0728071551523274,-0.18438124338756
"YAL019W-A",1,"YAL019W-A",-0.658140195886561,0.0250922452180853,0.270604008882312,-0.134173604175641,0.32730208527302,-0.0879540145370729,-0.478456683511476,0.182809322655107,-0.0507617646892777,0.415958423124438,0.0586652158482047,0.154604422059859,0.458316558531098,-0.628562188985705,0.222002496463797,-0.0648197750442398,-0.286370250549038,0.101840766235295,-0.209806220297791
"HRA1",1,"HRA1",-1.10568092961873,0.0226493097611556,0.52901389097932,-0.0844479563473594,0.262336220823914,-0.0671434817696858,-0.424485642285079,0.205592955089967,-0.027088527364602,0.0949096178292194,0.100654771807914,0.227865316625675,-0.0327351775809896,-0.383301847156906,0.146761925228083,-0.055809251595081,-0.47093693014183,0.103465997812259,-0.132302945304351
"YAL042W",1,"YAL042W",-1.24602149959106,0.00786653826538653,0.228471159035783,-0.0589646696372202,0.346303911761864,-0.00342896827291107,-0.269147713036126,0.127717579054928,-0.0541721335516482,0.265838542805609,0.498815099216781,0.0790956423453552,-0.108533262854247,-0.732180299945293,0.259802151814735,-0.057255870652934,-0.420315166807147,0.193021495919962,-0.0856798401564315
"YAR027W",1,"YAR027W",-0.679671466465063,-0.00337402547563495,0.479441620980363,-0.139966477844342,0.152979577831354,-0.0870671843356137,-0.50621552108412,0.256396561979168,-0.0586277428007692,0.208862977342899,0.1667044483062,0.106944286201533,-0.129727469556842,-0.441980762395965,0.122145986167388,-0.0261143023468734,-0.0752151340121234,0.203193320692696,-0.0670152498386093
"YAL016C-A",1,"YAL016C-A",-2.49964893701578,-0.00737291186936247,0.337698493941201,-0.149535132312557,0.182502623978804,-0.108637971834604,-0.00825885816218675,0.0829919941826077,-0.0229231402215088,0.383981592997764,0.153360132573654,0.0878983238613055,-0.0846744030523944,-0.58050805652565,0.315058329684089,0.467111174750077,-0.353965266210639,0.261070084504009,-0.152674452213602
"YAL053W",1,"YAL053W",-0.254347455309436,0.0430614498654068,0.362045659376725,-0.0662037957473629,0.116769547593738,0.49941493142588,0.149476519077149,0.230452044225573,-0.098673114196673,0.0940664093873051,0.221836736601286,0.130488188345883,-0.156284958845303,-0.471125076455169,0.224056479771406,-0.0728544431632815,-0.342754965835423,0.257867229761381,-0.0869020716269172
"YAL017W",1,"YAL017W",-1.43952070639695,-0.0070255187177812,0.182129897712417,-0.192088620855141,0.225527475206677,-0.0824336947629309,-0.00545524777325354,0.176354772721572,-0.031784298329953,0.144035965770802,0.210842720468066,0.0681793619389825,-0.0431542064906639,-0.340046503187119,0.250785930940063,-0.0170233672928074,-0.189071421980415,0.173942517661692,-0.122103613065197
"YAL016C-B",1,"YAL016C-B",-0.792407777934052,0.0389628358977021,0.232044750195383,-0.164247052692855,0.101667824828663,-0.031819018540885,-0.30521474478656,0.175104714888807,-0.0221913706013478,0.0917037565296448,0.149707584436439,0.0753919162395811,-0.0853068155245556,-0.615359288975483,0.136867877157092,-0.0302378089283697,-0.420280681096818,0.332396214537973,-0.0615348231927057
"YAL022C",1,"YAL022C",-2.32058956258938,0.0559941369172277,0.154184487494671,-0.132384608414149,0.110746670567162,-0.0255573577014287,-0.390814085656359,0.110104110104571,0.0245981781191007,0.211874373363978,0.304677206711132,0.0605402276683743,-0.0640820974928185,-0.746463183730496,0.123208168609445,-0.0123334527592461,-0.259769964838541,0.114452888295142,-0.0520200860842594
"YAR019C",1,"YAR019C",-0.536393884980054,0.0728305954773937,0.244329514213014,-0.217002213140682,0.103166578825375,-0.0783880060024347,-0.480056898195033,0.116050976106766,-0.0368899912467138,0.0987791185383074,0.142671150720649,0.0698630571045231,-0.145372303473436,-0.536153696180523,0.0941110524904102,-0.055908487212638,-0.316190512543476,0.337263798251123,-0.151400597789631
"YAL046C",1,"YAL046C",-0.475019501064521,0.048611738769396,0.139810398785946,-0.0952689370777764,0.116953919638956,-0.0568238808271532,-0.383680551505658,0.0712173902841829,-0.0391966671964571,0.108345217328508,0.289909829791377,0.072066259570768,0.482458838016173,-1.27463521270122,0.121154853426009,-0.0744594710511569,-0.232882858976032,0.214193272457454,-0.183352196128268
"YAL048C",1,"YAL048C",-0.68929891042251,0.0434800778767047,0.193841668265333,-0.162531637587459,0.131613316168554,-0.068705553667914,-0.771047127251975,0.0726802107402261,0.0372688170992595,0.0979316397572758,0.226451073997873,0.13346348474045,-0.0810874259661599,-1.32103758463543,0.0781118750254178,-0.0202585308265055,-0.201271087210153,0.848370615541439,-0.102799468621313
"YAR008W",1,"YAR008W",-0.882972773259521,0.0239500182772403,0.142156735764269,-0.160905235379327,0.2123067659491,-0.038478717163012,-0.829418052161174,0.366522372426337,-0.00789212941490268,0.121232280364183,0.326845880155466,0.164356548157395,-0.0447826973228292,-0.61238090034636,0.0769597142248351,-0.00895052552665211,-0.293077992777114,0.130175816426118,-0.236049764014683
"YAL059W",1,"YAL059W",-0.51473163215837,0.0388245922268436,0.151481010921571,-0.148997040631878,0.235826022695187,-0.0361206250515219,-0.523960213131417,0.652308562995519,0.0539671233246036,0.701460552548367,0.153066610838168,0.166537582923815,-0.100908520526328,-1.59517912168089,0.0535100494128848,-0.044104930412986,-0.395800498814091,0.136135719765169,-0.198558613783038
"YAL002W",1,"YAL002W",-0.821745486212129,0.054134838922508,0.12831167122202,-0.133873696683903,0.277814984397167,0.498496856168031,-0.959682665189714,0.349895171895754,0.0160198639518765,0.260675508816982,0.162880581745731,0.164130914725764,-0.0620842456203934,-0.520662809776423,0.114008589632679,-0.149689279564469,-0.32755362879754,0.0988074561430692,-0.11686614416122
"YAR042W",1,"YAR042W",-0.743057640212438,0.0719825889569343,0.305059050070301,-0.0841386803810366,0.294809205856482,-0.0440582282168019,-0.333824490386359,0.0949807046747975,-0.0642458153907702,0.226058529170725,0.108765463550766,0.135939553572612,-0.0829725957481357,-1.30802840730789,0.0855533058701681,-0.0586578470947393,-0.528776425802903,0.138282381301364,-0.2765435421547
"YAL056W",1,"YAL056W",-0.361617269532423,0.105966894618127,0.367803531858158,-0.0561549654234548,0.198816184802046,-0.0851031551962784,-0.775684534179742,0.0407707109528372,-0.0471653638699393,0.271667567847657,0.147894546079191,0.287256662660406,-0.0660371651030134,-0.775764653815626,0.187692178736227,-0.0328769613146596,-0.564796901853123,0.0701953581284112,-0.080461324359392
"YAL049C",1,"YAL049C",-0.664141238585886,0.0127740354300898,0.457757468523494,-0.0379617871229169,0.377923604176072,-0.0705308109280855,-0.524666853713849,0.132455531645747,-0.000686966815752169,0.201349293080878,0.0861693741448458,0.103798115122655,-0.0152309789948568,-1.46063354216605,0.207695777734448,-0.026758395390924,-0.334444868105423,0.104042715846214,0.742278396512729
"YAL005C",1,"YAL005C",-0.753843903600547,0.0601391449778173,0.458254560931892,-0.0927019059583644,0.135164447031345,-0.0118191294980598,-0.729859540115863,0.175010910965032,-0.0280217536983426,0.21041912208841,0.13544562771374,0.234847601788734,-0.109176884405569,-0.86062965508042,0.20957275402757,-0.114692959148885,-0.698477159540586,0.0729066254350902,-0.182087999069175
"YAL028W",1,"YAL028W",-0.626158319887612,0.0255393048852927,0.290821272079598,-0.133853958482191,0.328188576311025,-0.0873240916670606,-0.477103451853455,0.187705418779405,-0.0506851036376994,0.41597378880473,0.059709096164964,0.156854878756452,0.459829740674317,-0.618584526592021,0.223526764605833,-0.0646048911303718,-0.285471756627137,0.103364131017628,-0.205938228807471
"YAR020C",1,"YAR020C",-0.696453281922397,0.0231398493593149,0.55077999522807,-0.0838944286596794,0.263339911315008,-0.0618069663679998,-0.42287376300936,0.209113412824415,-0.0265852761275435,0.095342595362215,0.100997435787706,0.228283542847145,-0.0324678279649511,-0.382529275733863,0.150011599359953,-0.0542444445705618,-0.469705858432154,0.104146028285791,-0.131596303770019
"YAL044W-A",1,"YAL044W-A",-0.964532382151508,0.0107822412928012,0.229559259363281,-0.0564662398120723,0.349251764380198,-0.00219271252827416,-0.264841270891198,0.130645929706036,-0.0518087819302469,0.266346781174619,0.504027841791893,0.0819851297808749,-0.104979120041566,-0.726755293264921,0.262089870363671,-0.0567745050131317,-0.419956616749471,0.194192499984902,-0.0851323364127031
"YAL051W",1,"YAL051W",-0.679058290944627,-0.00314080759446003,0.481542269830649,-0.137716221003637,0.156553980260276,-0.0856653915679769,-0.506091635018044,0.260982474489475,-0.0553260932715509,0.219748474530222,0.171326626052488,0.109020859678491,-0.129006373992632,-0.440416299046093,0.12247658002882,-0.0261080735304884,-0.0635204777265088,0.203558714207372,-0.0656402666583666
"YAL030W",1,"YAL030W",-2.41435815127413,-0.00664557854306102,0.364373765523024,-0.146486467704342,0.18294167782724,-0.107920388267018,-0.00641924247854701,0.0840929520932873,-0.0228935525263167,0.39966142385023,0.159942606106564,0.0890295832825625,-0.0828443171020519,-0.565835890444379,0.315236558764496,0.4676825063025,-0.353172210650775,0.26706654174713,-0.150794941878573
"YAR002W",1,"YAR002W",-0.18433619887937,0.044926952269446,0.366835348563714,-0.0655712646610445,0.117392103104761,0.502896481034028,0.150124456583758,0.232013900508371,-0.0951426201703865,0.100557481437619,0.236422530948403,0.132820502564557,-0.155726853466234,-0.469466449540332,0.226950336319545,-0.0680608569986061,-0.336389091220045,0.260758671774342,-0.0853919981779121
"YAL047C",1,"YAL047C",-1.07671721827657,-0.00568530796170003,0.19125719236858,-0.1888421051345,0.226392174813505,-0.0738520998894997,-0.00076487032138934,0.177696219519966,-0.0251946952594029,0.146101068109064,0.212217819093247,0.0692106223434431,-0.0428803052931621,-0.32753954542045,0.261003983543967,-0.0152296751977114,-0.186378278981002,0.174474962836369,-0.122083291218969
"YAL041W",1,"YAL041W",-0.656624968838895,0.0390997046813886,0.235217045729507,-0.163184950675448,0.101957734473398,-0.0292154082987919,-0.304158352295866,0.178143705269847,-0.0170252980746433,0.0927573912757985,0.151690682955427,0.0785942833771365,-0.081838966180287,-0.583524296214042,0.138075980443663,-0.0290790441671449,-0.419769684334802,0.334356827187353,-0.0614566427590596
"YAL004W",1,"YAL004W",-2.00978442455718,0.0580092213076557,0.154406437956094,-0.131841422240302,0.111664146993456,-0.0232674230316122,-0.389497125409813,0.112726701105052,0.0254022963386437,0.212828908059276,0.314499901959657,0.0611002016510345,-0.0637064481350172,-0.745908512942627,0.124322159987601,-0.0118656244959189,-0.253925089966451,0.115099619553921,-0.0515703645944675
"YAL003W",1,"YAL003W",-0.319797893502563,0.0731111425475577,0.250710963192916,-0.215778553979476,0.103287072463466,-0.0759791147974382,-0.47124272989514,0.119089370737956,-0.0306986040752323,0.101996584511299,0.143253852645933,0.0699879123730757,-0.142294520375412,-0.527264035623147,0.0947061982069301,-0.052191455612221,-0.315723157067204,0.337361469349584,-0.150825180493149
"YAL034C",1,"YAL034C",-0.283712927086212,0.0495007898590095,0.144368812658354,-0.0938419460868631,0.118596626722419,-0.0513767696154258,-0.38000348096261,0.0713636885664992,-0.0346427126100914,0.108666798745685,0.300219290928232,0.073726513553916,0.483161259975786,-1.27388971839468,0.121877820840938,-0.0726999985299354,-0.23284346424123,0.214897411508027,-0.182891628633668
"YAR028W",1,"YAR028W",-0.575815583082228,0.0435623652528344,0.196221824931474,-0.162356768011138,0.132026868551927,-0.0684139280004439,-0.765879679287971,0.0735129618839684,0.0403615045082311,0.0983629993052769,0.228505461567827,0.133502673542898,-0.0808550716301744,-1.29362326825811,0.0785526827176648,-0.0198302234561025,-0.194903833525382,0.849750555080882,-0.102524967325533
"YAL067C",1,"YAL067C",-0.852220386261587,0.0282120983081222,0.144380976493272,-0.160594985542854,0.212516290590208,-0.0378924498622718,-0.792992304605408,0.367455554115989,-0.00517320394115745,0.123533931619439,0.335116035761596,0.169650634664068,-0.0441069302308112,-0.60424855952395,0.0778143410306843,-0.00723300346617067,-0.28672841000382,0.136894706944686,-0.235634225259223
"YAR003W",1,"YAR003W",-0.51175467552187,0.0393292512878368,0.15388291826529,-0.147313631067384,0.240690881671414,-0.0356723451388681,-0.498880160103998,0.654499961056639,0.0614692052630046,0.70624439756817,0.158741193226898,0.166832990010117,-0.0999740692697873,-1.57470500125388,0.0541670236375353,-0.0415443387389992,-0.392232357096256,0.137060626937196,-0.198062791741723
"YAL032C",1,"YAL032C",-0.604351741887124,0.0588987843017182,0.130432133864701,-0.133043052057125,0.279681625619107,0.499972819517443,-0.957511191796143,0.352609855603167,0.0169136525044972,0.267411410577033,0.17233598367727,0.166610605646259,-0.0619442880397044,-0.496347272362905,0.116709083253055,-0.147456963451117,-0.32596082586751,0.0994642990480912,-0.115663413875994
"YAL027W",1,"YAL027W",-0.655733119921681,0.0730472738271082,0.310328646254238,-0.083681799421431,0.295495063589908,-0.0403922170495521,-0.333063261792805,0.0951538569630199,-0.060815044563089,0.226501174372359,0.111247818220259,0.139692259131169,-0.0810742700053853,-1.28440998940048,0.0867252001485287,-0.0545193549352373,-0.526792686215466,0.138769817476277,-0.276057925454453
