"","chrms","X112","X115","X117","X123","X141","X152","X29","X50"
"1",1,-0.0977327708322064,-0.153659503320201,-0.120667006618984,-0.16902003520042,-0.0621032510164472,0.446526351660841,0.0248843263789668,-0.2184889304368
"2",2,0.000622533108920207,-0.0150955901268837,-0.0454159566008425,-0.0673966183223065,-0.0106414229681842,0.000383187414431769,0.0509810762241454,-0.0622703840878476
"3",3,-0.060098612465387,-0.0219048417369549,-0.0871259660800863,-0.10145519755407,-0.0696256331347409,-0.0287804638889489,0.0730568981484491,-0.174995160458739
"4",4,0.0445777981517048,0.0558463929582858,0.0320690909888169,0.031259482033433,0.0081072413034045,-0.0209875589442537,0.100935872043518,0.00416351769318101
"5",5,0.0595249893064155,-0.0254935653622821,0.519997666326757,0.358233005972604,0.00501527744568899,-0.0344901909026826,0.080756337664537,0.0104368880216
"6",6,-0.0854832454155054,0.0146587091744152,-0.0580090621733643,-0.0436348318881102,-0.0459598323117654,0.00794719684104441,0.0903645460710876,0.0115756234802522
"7",7,0.016009960997963,0.000783430949710081,-0.00856529765310377,-0.0410711037876348,-0.000376975668598529,-0.0239193196249208,0.0549347261638055,-0.0205900448578437
"8",8,-0.0282984391704652,-0.0620225534464897,-0.1426121391861,-0.134238998175474,-0.038528955701649,0.548407178848504,0.0053428547248704,-0.0362457167460394
"9",9,-0.00997578121670073,-0.0725176506319914,-0.0554188752747371,-0.030408505422746,-0.0319218315998156,-0.0574461814653576,-0.949840846689933,-0.102828677083648
"10",10,-0.00739992970974666,0.028440579536961,-0.0466068414885832,-0.0824984752521377,-0.0560707638863304,0.0153392556319635,0.0118270040657524,-0.0605320808270617
"11",11,0.0202404913620266,0.0446503553000358,0.0251877545463157,0.022622559861004,-0.0066316543703637,-0.0344744857271644,0.0955074312496089,0.040006545600146
"12",12,-0.0131111171000281,-0.0382752440508541,-0.0888985611425296,-0.0918457826187187,-0.00219458746876198,-0.00608251755083118,0.0439284907677016,-0.0855243137101007
"13",13,0.0185581815084973,0.0240374574099896,0.00434725431309278,-0.0201106213294733,-0.0200692578986666,-0.00431720149647754,0.0660279004375313,-0.0100570713223796
"14",14,-0.0130037796130601,0.00118134859392648,-0.0129372862931015,-0.0104122602653324,-0.0225822118399713,0.0194814563200189,0.0759709697197385,-0.00180732697713871
"15",15,0.0295430091333046,-0.00971644747832092,-0.0153846953209724,-0.0281491214507584,-0.0138650025611631,-0.0297519054964082,0.0608092467728241,-0.023160804755852
"16",16,0.605215277360806,0.0713359250100641,0.0672524027754533,0.0826404240297931,0.452073004406137,0.0127062698836555,0.130342788936231,0.0375353997166756
