"","chr","tracking_id","X112_2","X112_0","X112_1","X115_0","X115_1","X115_2","X117_0","X117_1","X117_2","X123_1","X123_0","X123_2","X141_1","X141_0","X141_2","X152_1","X152_0","X152_2","X29_1","X29_0","X29_2","X50_1","X50_0","X50_2"
"4056",11," YKL162C",37.4524,13.7739,105.245,76.4439,72.581,28.8248,83.9622,93.0295,39.413,60.3702,67.4646,51.7909,42.1065,62.1837,14.9654,34.9909,35.0324,18.2264,74.6644,43.0306,30.3264,90.4053,85.123,39.5834
"4057",11," YKL162C-A",200.887,186.907,96.8234,187.942,179.584,340.311,129.88,232.228,335.862,75.0954,279.517,289.668,180.152,84.622,125.42,268.042,529.117,208.594,98.9026,22.5979,92.7176,56.094,205.26,267.443
"4058",11," YKL163W",3422.34,778.228,5796.19,4426.67,1936.71,1747.64,4202.91,2836.45,2747.21,1932.92,6094.74,3571.78,2855.22,1327.35,765.965,1096.86,2601.43,357.003,1381.72,5987.31,750.931,3083.48,6284.81,2778.62
"4059",11," YKL164C",341.095,657.118,142.025,173.924,184.103,232.978,72.8563,138.825,275.628,86.1635,127.662,223.022,267.383,243.211,602.806,148.516,207.466,422.059,107.853,72.8507,201.711,64.207,92.2219,295.166
"4060",11," YKL165C",24.8614,71.4308,43.9904,43.1579,50.9213,28.4359,17.293,37.1772,38.6194,29.936,41.0181,36.9155,29.9982,20.9776,36.6884,34.4047,48.2787,75.7367,37.9437,22.8538,17.6119,35.6268,40.3123,33.9872
"4061",11," YKL165C-A",20.4238,11.8262,20.9844,21.0004,13.5576,4.37135,21.4632,16.7461,4.09591,9.56495,11.2073,19.9195,33.2473,5.14665,8.09022,3.98344,35.1887,11.0366,0.5,8.55613,8.90481,5.5669,6.72069,14.0164
"4062",11," YKL166C",32.3055,33.5224,24.117,39.4884,23.3711,31.9153,41.1689,24.5615,32.072,39.491,42.9944,30.0243,30.7871,20.8987,27.0894,46.6856,46.0481,36.9438,32.912,22.6485,36.8379,34.9888,36.222,31.9065
"4063",11," YKL167C",197.258,199.662,372.862,275.777,199.491,208.436,304.89,220.035,164.517,220.277,235.563,182.029,223.853,270.183,163.896,186.858,178.767,150.968,220.807,191.097,246.819,268.871,403.568,212.534
"4064",11," YKL168C",24.6315,23.7915,13.6772,15.7838,18.2557,21.0392,13.9351,22.3017,20.7803,13.5338,16.0146,21.2172,28.1356,26.5406,20.4656,22.9803,16.2662,21.5923,20.2426,20.434,21.0158,16.4825,14.7831,25.8699
"4065",11," YKL169C",248.854,207.334,376.946,329.297,211.28,187.737,444.073,178.709,188.759,311.239,316.821,188.621,246.587,386.951,229.464,171.147,196.522,216.425,301.785,207.367,194.32,404.091,424.655,243.117
"4066",11," YKL170W",31.8925,21.3202,33.0831,40.2183,19.7022,21.6459,61.6057,12.7869,14.0979,27.6376,40.4274,17.9845,34.8983,36.1307,32.3916,15.5021,20.3382,15.5523,24.0517,36.8878,18.1571,43.0789,54.7349,26.0561
"4067",11," YKL171W",30.3082,28.8063,46.5201,61.2609,57.3862,22.9438,64.3848,66.2918,35.1636,53.7854,58.6611,32.3365,37.4838,75.7859,16.2433,25.5216,27.7924,20.1333,56.878,55.4911,14.3606,111.065,69.3495,33.131
"4068",11," YKL172W",107.959,179.609,46.4182,95.6577,67.289,145.503,73.9777,48.0415,105.728,90.9248,85.7063,108.254,124.815,62.2008,154.403,135.517,143.765,140.325,68.214,52.7063,223.331,55.2253,52.2212,112.219
"4069",11," YKL173W",25.1878,24.2822,11.1506,19.4542,19.0322,26.6327,16.0283,22.9891,28.5207,21.8604,20.0682,25.0087,25.967,25.0582,22.3993,25.0165,21.5719,24.0992,17.0997,16.5387,25.9261,12.7548,12.9813,27.073
"4070",11," YKL174C",83.3262,71.5789,55.3602,96.7472,65.0831,83.3708,96.5197,65.3014,81.5866,90.3518,99.2282,82.9757,94.6709,54.3976,67.9131,66.6378,93.2039,75.1414,39.1349,60.2687,80.1767,39.641,56.6594,71.3061
"4071",11," YKL175W",427.856,125.336,1201.78,557.844,628.206,219.347,813.149,677.738,491.097,547.997,553.933,655.233,170.092,247.205,117.915,150.971,405.872,104.036,783.453,1250.78,494.56,354.237,538.024,373.949
"4072",11," YKL176C",59.2766,58.3011,71.8341,87.1408,76.9971,57.703,90.5418,83.5806,70.6524,76.1921,86.9704,75.5449,58.644,65.2879,51.1003,57.2323,67.425,46.923,81.3831,98.4577,66.3139,88.0903,90.6216,69.9333
"4075",11," YKL179C",30.543,44.2812,22.0728,29.3407,30.6592,37.1007,24.8976,30.519,39.4886,32.2315,23.9494,37.153,38.6822,30.573,42.8292,35.5177,32.5576,44.1293,25.5615,19.6858,33.9944,22.3296,22.0148,37.5098
"4076",11," YKL180W",776.555,4148.28,477.162,527.658,685.798,1158.87,511.832,635.769,738.569,544.465,649.791,764.631,745.356,978.916,3776.25,565.482,1208.36,3127.91,624.311,350.463,944.366,308.397,557.876,1105.08
"4077",11," YKL181W",255.207,404.648,163.062,186.174,209.116,265.261,175.65,164.445,182.818,181.627,227.099,188.419,207.565,209.616,344.5,242.778,246.894,363.376,150.001,173.7,285.333,168.083,183.933,246.966
"4078",11," YKL182W",60.3452,191.287,29.5335,49.0398,59.1631,72.2962,36.7158,60.6149,68.8315,39.5051,47.1837,62.3374,81.8801,108.722,117.123,74.0505,65.5168,118.987,63.0871,16.7707,77.1969,34.3563,23.1285,69.3841
"4080",11," YKL183W",51.16,54.8465,33.6234,36.652,36.2449,39.795,34.5127,30.8819,53.8112,36.1892,48.5835,46.7489,43.9556,39.6323,53.4958,46.7864,44.127,51.4467,43.2577,49.3151,43.6724,36.9687,37.4282,44.9011
"4081",11," YKL184W",26.8653,52.8542,16.4201,27.2934,19.6991,33.0878,30.1672,21.282,34.0738,31.4056,31.2981,32.0106,28.358,62.2456,48.0704,30.6548,24.5853,45.8928,34.7032,49.0655,47.6146,55.3511,28.8543,39.4525
"4082",11," YKL185W",78.6754,115.425,74.0844,73.7302,86.9003,63.6558,53.7143,99.3848,100.732,49.263,60.8083,103.5,55.6334,103.959,94.3289,47.9706,89.8298,70.4419,67.3483,45.9322,63.2648,30.9273,47.3043,72.8094
"4083",11," YKL186C",250.366,278.737,320.248,316.795,343.149,273.201,341.83,356.349,300.184,209.717,388.111,312.046,257.857,285.387,232.315,174.51,396.296,224.895,225.923,539.453,302.367,247.843,324.226,291.089
"4084",11," YKL187C",15.0958,15.6174,85.2057,107.459,203.41,13.9472,54.6063,298.888,11.8339,23.7267,92.9062,11.6828,9.92885,211.538,11.4039,16.2222,15.83,14.6878,40.4499,14.5779,4.82507,39.0135,74.2594,14.7587
"4085",11," YKL188C",24.5604,17.9576,36.6385,28.1206,43.975,21.2676,36.6674,53.2143,25.5503,28.2333,28.9202,28.0939,29.0813,89.5002,20.3638,24.4747,23.3658,18.713,31.1123,39.665,24.2177,39.148,29.5833,25.6763
"4086",11," YKL189W",59.221,43.9377,64.1505,60.0141,48.4128,49.1062,70.239,40.577,57.73,69.9305,54.6999,57.0396,66.2682,51.6712,38.5857,43.0809,43.61,38.0447,51.9446,55.1696,37.4711,48.1007,65.6777,50.5745
"4087",11," YKL190W",404.452,313.5,578.024,344.135,374.329,372.159,342.988,361.006,377.773,367.251,340.451,396.193,368.776,189.005,297.697,409.924,386.909,335.176,297.853,394.938,405.671,204.455,329.388,308.218
"4088",11," YKL191W",51.3657,66.0942,17.769,40.4684,32.8797,58.5863,26.9032,28.5476,50.8417,39.4114,47.8897,44.7372,37.0646,40.7854,59.2293,50.6339,41.8767,65.0603,33.8598,49.8111,49.9667,48.2937,42.0913,47.9337
"4089",11," YKL192C",792.15,1087.6,1080.95,1536.18,720.625,891.477,1903.7,693.805,655.519,1016.74,1734.04,691.944,829.727,1679.19,1106.98,877.697,805.512,970.488,982.208,1031.47,797.439,1303.9,1913.67,816.549
"4090",11," YKL193C",135.158,136.509,267.028,198.453,186.146,109.008,173.673,191.625,139.108,151.005,175.371,160.526,193.759,142.276,134.441,127.596,140.291,119.773,143.569,160.351,134.918,134.963,183.962,139.58
"4091",11," YKL194C",24.7906,34.6711,24.7315,25.8741,19.2881,26.8065,21.8089,13.8922,18.9263,18.1715,19.9817,23.8838,27.0778,38.1137,31.9253,31.8667,23.6852,32.817,31.5541,15.0083,18.133,27.3106,27.641,22.784
"4092",11," YKL195W",162.228,187.757,224.959,196.707,166.047,142.039,222.668,163.007,131.969,187.889,182.085,126.163,176.237,361.256,165.775,151.061,125.001,169.41,175.71,140.379,142.762,258.565,311.623,154.241
"4093",11," YKL196C",390.025,497.787,567.095,515.921,494.026,401.3,439.163,462.136,338.033,383.651,487.266,360.135,335.687,348.19,477.722,424.794,442.565,484.129,446.823,593.374,488.792,522.543,597.539,330.819
