"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"YAL001C",987.818234963529,0.389808931464148,0.230847115435138,1.68860213275514,0.0913461845591432,0.211531322023723
"YAL002W",622.414700071901,0.813460299518926,0.249070501941595,3.26598410160058,0.00109679485722717,0.011389154143994
"YAL003W",2391.99064128519,0.0752442362489299,0.382203102910468,0.196869768130993,0.843935930201753,0.903631814307563
"YAL005C",8563.22796141369,1.65223545050161,0.555815085503973,2.97263513278608,0.00296394833637046,0.0209203942004846
"YAL007C",681.300440505022,-0.198005495255479,0.173087956978689,-1.14395882135149,0.252685050519479,0.417778006334649
"YAL008W",874.39724840118,-0.621302378112741,0.229914954686991,-2.7023139010622,0.00690469397338838,0.0360163766719988
"YAL009W",209.803220745942,-0.308355761245695,0.195988473851594,-1.57333620281766,0.115692213549934,0.248873253529917
"YAL010C",287.108538662424,-0.655505031232531,0.190464089785494,-3.44162005536467,0.000582074516149386,0.00800644145153365
"YAL011W",192.316836166723,0.443759077087949,0.218009359038923,2.03550470972543,0.041842716444629,0.124987900938129
"YAL012W",847.703902590186,2.53194520424198,0.609981812646928,4.15085360210163,3.35692586120797e-05,0.00199349751142504
"YAL013W",585.342834274041,0.421276444177263,0.290392865473551,1.45071210165676,0.146910829615241,0.289894057261821
"YAL014C",404.686262858253,0.560508903265807,0.196843944578738,2.84747851637165,0.00442125325635091,0.0269745954256365
"YAL015C",445.780485165871,-0.188619472043973,0.171575967182668,-1.09933503590954,0.271664806367069,0.437611331278826
"YAL016C-A",1.83222320293084,0.0925387029369375,1.29587184440062,0.0714103816182066,0.94307345957721,0.963747335873344
"YAL016C-B",22.7958242455775,0.737054187609511,0.450633172036821,1.63559682985186,0.10197495234123,0.229267311852725
"YAL016W",2703.20393467075,-0.249679315498941,0.132742013589751,-1.88093662847841,0.0600275476322665,0.158867431871295
"YAL017W",1365.25960633124,0.841662785639169,0.330706072385723,2.54504787156579,0.010950390444022,0.0491851719143856
"YAL018C",2.72444986690303,0.0385471020131824,1.01618000614126,0.0379333403336257,0.969742056447138,0.981180691451101
"YAL019W",529.636755305432,0.815474639127694,0.169858061097007,4.80091809514987,1.6166044724375e-06,0.000554674956765222
"YAL020C",167.321280945963,0.108961897999772,0.392940158285348,0.277298961946885,0.781559837413333,0.861487338187533
"YAL021C",1301.99297456458,0.0460647585184582,0.200902406548075,0.229289232070175,0.818651714611393,0.886083594363821
"YAL022C",304.545488341034,0.582910206876884,0.283436810572338,2.05657905089966,0.0397686525509404,0.120433746984368
"YAL023C",1505.94030591148,0.652688434983541,0.273839888657213,2.38346735453344,0.0171804490750097,0.0664326293075097
"YAL024C",224.477987440422,0.385595114984773,0.253050821140235,1.5237852746231,0.127613559668261,0.265099678611227
"YAL025C",495.955621487964,-0.386523945168644,0.392386598002684,-0.985058988090108,0.324633684843025,0.493705402016873
