"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Q0055",179.051328399297,1.47300254573289,1.28224644008004,0,0.973091026449189,1
"Q0075",0.64081426248982,-9.54188148933383,4.42997774206119,-1.92819964042516,0.0269368657551711,1
"Q0085",8.05225941177056,0.683401862486866,1.53476619805674,0,0.863625315786055,1
"Q0120",1.95066663610692,2.06213429223331,1.53669096473539,0,0.976830946352106,1
"Q0130",24.4109138752295,0.777057841671455,1.37171050759708,0,0.902403999993496,1
"Q0275",55.2332541457692,1.11958374698774,1.34465001527947,0,0.942498389662432,1
"YAL001C",986.603632199468,-1.48145936008803,0.234643457588343,-2.05187634480183,0.0201107939934574,1
"YAL002W",621.668282304953,-0.736126935957475,0.253363369863173,0,0.851154416058478,1
"YAL003W",2389.65621790315,-0.448662525155698,0.381877642796229,0,0.9255718879887,1
"YAL005C",8554.86358272845,-1.01349033807206,0.556218983016172,-0.0242536455676193,0.490325515480004,1
"YAL007C",680.504097115147,-1.4460290855584,0.178120514874363,-2.50408598848372,0.00615054260935853,0.721341758632642
"YAL008W",873.84374766859,-0.380089664607656,0.231440664254739,0,0.996292909523256,1
"YAL009W",209.674029210701,-0.703923433222196,0.203788457705039,0,0.92684490939345,1
"YAL010C",286.782154435731,-0.978402343760652,0.194327902628732,0,0.544245730694771,1
"YAL011W",192.146848240512,-1.22686585733852,0.237732660882373,-0.954289816537952,0.169986194098785,1
"YAL012W",847.003843737191,0.286201501223767,0.61156853268231,0,0.982253184842002,1
"YAL013W",584.927542298621,-1.49394982882533,0.297172314427104,-1.66216637568538,0.0482637784076592,1
"YAL014C",404.464486683731,-1.22558381720762,0.20957180374757,-1.07640347209748,0.140893366006461,1
"YAL015C",445.419883135262,-1.08443568143298,0.17707117145843,-0.476846009079499,0.316743891824979,1
"YAL016C-A",1.83273155436453,-2.5768706158805,1.62545090133606,-0.970112732771179,0.166013169161961,1
"YAL016C-B",22.7727223847124,-1.52909369920907,0.583095722533167,-0.907387378714604,0.182117781109677,1
"YAL016W",2700.48595915179,-1.00363814380273,0.134733570075233,-0.0270025042808135,0.489229282084265,1
"YAL017W",1363.84655349143,-0.843932740925662,0.332623304768484,0,0.680529236566696,1
"YAL018C",2.72426062640698,-1.9766415444603,1.44791187593178,-0.674517255293451,0.250003233680765,1
"YAL019W",528.974895568924,-1.14466487448194,0.178829764826785,-0.808952998523848,0.209285870299891,1
"YAL020C",167.198219479609,-1.06860719206249,0.400952337429285,-0.17111059260153,0.432071062065975,1
"YAL021C",1300.52494170333,-1.09978320098809,0.201766342781867,-0.494548295876918,0.310467846343407,1
"YAL022C",304.344944322681,-0.808650497079219,0.290195867129608,0,0.745162617209479,1
"YAL023C",1503.82258562525,-1.7836267253599,0.275791453257565,-2.84137421991849,0.00225295609689683,0.386882627528228
