"","Holly_59A","Holly_59B","Holly_59C","Holly_Anc_A","Holly_Anc_B","Holly_Anc_C"
"YAR015W",3538.186537033,2109.59549022977,1165.76434792861,2829.34093204182,1449.86376217594,1522.07454139368
"YAR018C",433.333190623543,272.362760698253,332.286996900107,393.455223362065,300.203138727002,322.40412388692
"YAR019C",356.55328063442,448.669012043104,454.824726653967,320.511277457862,382.381651562886,377.306275418388
"YAR020C",32.6051672556549,58.3634487210542,67.3405541890582,50.1029123382405,74.6315065550369,70.0878530188957
"YAR023C",273.462693111944,246.828751882792,160.071809137925,286.618130876111,216.347513384264,245.307485566135
"YAR027W",360.760398989988,272.362760698253,192.08617096551,407.454566515397,345.485176412081,293.200851795714
"YAR028W",225.080832022908,229.806079339151,263.842499199753,254.198599363132,273.369338617326,272.174495890045
"YAR029W",39.9676243778996,46.2043969041679,51.8853450309137,58.2077952164853,72.9543940481821,45.5571044622822
"YAR030C",103.074399711425,88.76107826327,99.3549160166433,94.3113644013939,106.496644185277,114.47682659753
"YAR031W",18.9320326000577,21.8862932703953,38.6380228953613,17.6833808252614,14.2554563082655,21.0263559056687
"YAR033W",102.022620122533,91.1928886266472,56.3011190760979,89.1537116606927,99.7881941578583,101.627386877399
"YAR035W",729.935034691113,1690.1082025472,2293.99461647316,1066.16050225638,3754.21634659438,2075.76858024296
"YAR042W",1324.19050241515,1326.55255322229,1872.28819515808,1083.84388308164,1464.95777473763,1540.76463553206
"YAR050W",113.592195600346,125.238233713929,113.706181663492,117.152397967356,155.132906884065,148.352622223329
"YAR071W",53.6407590334968,42.556681359102,45.2616839631375,65.5758705603442,52.829043965925,49.061497113227
"YBL001C",2810.35506151967,2578.93489036158,1421.87924254929,4101.80754392625,2461.16260380936,2321.0760658091
"YBL002W",2764.07675960842,1701.05134918239,864.387769344797,3003.22751015689,1951.32040172551,1962.45988452908
"YBL003C",2203.47823872894,1020.14444743676,688.860751048727,1667.39545031527,1065.8049981062,1217.19238076149
"YBL004W",796.197148791315,1212.25746614356,1702.28089441849,935.74556867008,1157.20762972979,1126.07817183692
"YBL005W",410.194039667917,415.839572137511,441.577404518415,349.246771298912,366.449082747765,370.297490116499
"YBL006C",394.417345834535,296.680864332026,245.07545950772,386.823955552592,378.188870295749,310.722815050437
"YBL007C",1620.79234648272,1753.335271995,2105.22027604154,1387.40858724863,2150.89679004123,2030.21147578068
"YBL008W",164.077615867167,161.715389164588,309.10418316289,130.414933586302,155.971463137493,198.582250220204
"YBL009W",452.2652232236,347.748881962948,332.286996900107,341.878695955053,441.91914555623,395.996369556761
"YBL010C",306.067860367599,328.29439905593,319.039674764555,333.037005542422,339.615282638089,297.873375330307
"YBL011W",391.262007067859,392.737373685427,652.430615175958,332.300198008036,462.883051891914,524.490766758069
"YBL013W",39.9676243778996,54.7157331759883,55.1971755648018,25.7882637035061,49.4748189522155,54.9021515314683
"YBL014C",222.977272845124,227.374268975774,311.312070185482,195.990804146647,223.894519665111,202.086642871149
"YBL015W",35345.0530847188,38720.5005108744,45284.8667768747,24620.4237615045,38573.5876576595,31925.017050107
"YBL016W",196.682783122822,154.419958074456,150.136317536261,178.307423321385,137.52322556209,115.644957481178
"YBL017C",1677.58844428289,1780.08518599215,2550.10951109384,1542.13816946967,1951.32040172551,1853.82371234979
"YBL018C",144.093803678217,110.647371533665,136.888995400709,159.887234961738,88.8869628633023,134.33505161955
"YBL019W",381.79599076783,317.351252420732,314.62390071937,402.296913774696,331.229720103815,357.448050396368
"YBL020W",1072.81518066994,1097.96237906483,1290.50996470507,866.485660437806,940.021560092094,955.531062824278
"YBL021C",333.414129678794,445.021296498038,464.760218255631,331.56339047365,421.793795473972,316.563469468679
"YBL022C",847.734348647028,1570.94949474171,3034.7407125528,822.277208374653,1480.89034355275,1329.33294559172
"YBL023C",564.805639235054,445.021296498038,465.864161766927,534.18546242977,483.846958227599,538.508337361848
"YBL024W",368.122856112233,350.180692326325,427.226138871566,345.562733626982,429.340801754819,407.677678393243
"YBL025W",167.232954633843,142.26090625757,105.978577084419,208.516532231207,192.867938288298,175.219632547239
"YBL026W",628.964194157472,420.703192864266,358.781641171212,979.217213198848,458.690270624777,445.057866669988
"YBL027W",5896.27637532908,4568.15576760418,3645.22147429951,5956.35210797553,4627.99196266571,5746.0358166658
"YBL028C",127.265330255943,124.02232853224,110.394351129604,251.988176759974,156.81001939092,149.520753106977
"YBL029C-A",1850.08029686119,1195.23479359992,842.308899118876,1824.33545513946,1162.23896725035,1269.75827052566
"YBL029W",1136.97373559235,1174.56440551122,888.674526593309,1206.1539337897,888.869628633023,842.222367110396
"YBL030C",7949.35013284644,15237.7237369219,26593.9991871215,6170.76310048183,10933.0964321862,12459.2840049924
"YBL031W",94.6601630002884,103.351940443534,73.9642152568344,111.257937692269,136.684669308663,134.33505161955
"YBL032W",605.825043201846,548.373236941572,523.269224354321,492.187432969774,690.970352824162,686.860959585178
"YBL033C",1043.36535218096,1519.88147711079,1185.63533113194,1282.78191736583,1374.39369936748,1279.10331759485
"YBL034C",276.618031878621,265.067329608121,213.061097680135,254.198599363132,249.889763521359,285.023935610176
"YBL035C",295.550064478678,308.839916148912,292.54503049345,301.354281563829,276.723563631036,310.722815050437
"YBL036C",913.996462747229,706.440910561094,838.997068584988,1030.79374060586,749.669290564078,706.719184607198
"YBL037W",516.423778146018,470.5553053135,600.545270145044,489.977010366617,535.837445940096,578.224787405889
"YBL038W",1199.02873133699,1192.80298323655,2041.19155238637,1256.99365366233,1234.3548050451,1103.88368504761
"YBL039C",323.948113378765,357.476123416457,447.097122074895,260.093059638219,374.834645282039,377.306275418388
"YBL039W-B",375.485313234477,209.135691250444,132.473221355524,393.455223362065,209.639063356845,256.988794402617
"YBL040C",964.48188301405,807.36104064125,733.018491500568,979.954020733233,859.520159763065,881.938817154437
"YBL041W",2126.69832873981,1857.90311762023,1627.21273565036,2141.1626949254,1714.00898200557,1863.16875941898
"YBL042C",1465.12896732669,665.10013438368,447.097122074895,1184.04970775812,606.276171227996,1047.81340263249
"YBL043W",1436.7309184266,3202.69424856785,4178.4261902555,2203.7913353482,2892.18051807104,2791.83281191934
"YBL045C",21034.539998253,26849.6182220483,28238.8750189526,19716.9696201664,25409.9315913565,22970.1256960594
"YBL046W",299.757182834247,400.032804775559,313.519957208074,361.035691849086,414.246789193126,365.624966581906
"YBL047C",2873.4618368532,2914.52472050764,2741.09173854806,2413.78148264817,3107.68947520187,3349.03124341956
"YBL048W",813.025622213588,604.304875299249,340.014601479179,1082.37026801287,664.136552714485,593.410488893317
"YBL049W",2004.69189642833,1230.49604386889,691.068638071319,2057.90344353979,1306.47064283986,1284.94397201309
"YBL050W",2119.33587161757,1303.45035477021,1407.52797690245,1881.80644282156,1390.3262681826,1550.10968260124
"YBL051C",517.47555773491,527.702848852865,907.441566285342,400.086491171538,588.666489906021,591.07422712602
"YBL052C",175.64719134498,154.419958074456,139.096882423301,206.306109628049,148.424456856646,158.865800176164
"YBL054W",275.566252289729,299.112674695403,236.243911417352,321.248084992248,303.557363740712,255.820663518969
"YBL055C",452.2652232236,341.669356054505,328.975166366219,341.878695955053,311.942926274986,332.917301839754
"YBL056W",1847.97673768341,2003.81173942286,2226.65406228411,1828.75630034578,2156.76668381522,2127.16633912348
"YBL057C",489.077508834824,452.31672758817,468.072048789519,463.451939128725,470.430058172761,421.695248997022
"YBL058W",2394.9021239073,2869.53622878517,2695.83005458492,2553.77491418149,2572.6905855152,2412.19027473366
"YBL059C-A",743.60816934671,671.179660292123,1240.83250669674,869.43289057535,624.724408803399,561.870955034814
"YBL059W",411.245819256809,538.645995488063,643.599067085589,391.981608293293,373.157532775184,415.854594578781
"YBL060W",428.074292679082,483.930262312075,586.194004498195,401.56010624031,457.013158117922,414.686463695133
"YBL061C",287.135827767542,357.476123416457,454.824726653967,282.197285669796,373.157532775184,364.456835698258
